Question Number,Section,Question,Document Embeddings
241,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",Does CMU award institutional financial aid to undergraduate international students?,
242,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",When are student financial obligations due at CMU?,
243,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What is the monthly penalty charge on past-due student accounts?,
244,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What financial obligations does CMU consider must be met for continued enrollment?,
245,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",Give four examples of financial obligations to CMU beyond tuition and fees.,
246,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What may happen if financial obligations to the university are not met?,
247,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What does the financial aid section say about students in concurrent courses submitting the same work?,
248,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What is the Financial Aid Policy's position on undergraduate international students' eligibility?,
249,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)",What is the process for a scholarship appeal form submission?,
250,"SECTION 6: FINANCIAL AID, FINANCIAL OBLIGATIONS & TUITION (Q221–Q260)","How do institutional, state and federal aid options differ for tuition exchange vs. Study Abroad students?",
251,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What is CMU's policy on the scheduling of final examinations for undergraduate courses?,
252,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What time periods must be free from other activities during final exam week?,
253,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What must instructors do if they want to change the format of a final exam?,
254,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Under what circumstances may a take-home exam substitute for an in-class final?,
255,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What does the policy say about the rights of students to review returned examinations?,
256,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),How long must a final examination that is not returned be kept available for review?,
257,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Who is responsible for keeping a final exam available if the instructor is unavailable?,
258,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What should a student do if they have concerns about violations of the final exam policy?,
259,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Who should students contact about complaints regarding alterations to the final examination schedule?,
260,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Are instructors required to return all coursework assigned before final examinations?,
261,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What is instructors' responsibility for retaining unclaimed coursework after final exams?,
262,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What does the Undergraduate Course Meeting Policy govern?,
263,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What must instructors do if they plan to alter the location of a scheduled course?,
264,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Are instructors permitted to hold class outside the official meeting period?,
265,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What does the policy say about courses that end before the official examination period?,
266,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What recourse does a student have if an instructor fails to follow the course meeting policy?,
267,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Where should concerns about final examination administration be directed for undergraduate courses?,
268,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What does the policy say about the authority of faculty to administer final exams in an alternative format?,
269,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What provisions does the policy include for students with disabilities in final examinations?,
270,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Can a student's final grade be affected by whether they attended the final exam?,
271,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What is the policy on make-up of absences from class due to illness?,
272,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What documentation is typically required for a student to request a make-up due to illness?,
273,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Who must a student notify if they must miss a class due to illness?,
274,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What is the student's responsibility in arranging a make-up after an illness-related absence?,
275,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What does the policy say about recurring or chronic illness and class attendance?,
276,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Does CMU have a standard university-wide attendance requirement for all courses?,
277,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),Does the illness make-up policy apply to laboratory sections and other non-lecture components?,
278,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),How does the make-up policy interact with the academic integrity policy for student absences?,
279,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What role does the instructor play in determining whether a make-up is appropriate?,
280,SECTION 7: EXAMINATIONS POLICY (Q251–Q280),What resources does CMU offer to students who experience ongoing health problems affecting attendance?,
281,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the stated purpose of CMU's Intellectual Property Policy?,
282,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),Who owns intellectual property created using university resources at CMU?,
283,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),Under what circumstances might a student retain ownership of their intellectual property?,
284,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What types of works does the CMU Intellectual Property Policy cover?,
285,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"How does the Intellectual Property Policy define ""university resources""?",
286,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What obligations does a student have to disclose intellectual property created at CMU?,
287,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the process for resolving disputes about intellectual property rights at CMU?,
288,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),Does CMU's Intellectual Property Policy apply to student course projects?,
289,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the policy regarding copyrighted software created by students as part of coursework?,
290,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How does the policy address joint authorship between students and faculty?,
291,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What does the policy say about inventions made without use of university resources?,
292,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is a student's obligation if they create a patentable invention at CMU?,
293,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How does the Fair Use Policy relate to the Intellectual Property Policy?,
294,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the role of the Office of the General Counsel in intellectual property matters?,
295,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),Are student-created works that are produced for sale subject to the Intellectual Property Policy?,
296,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What does the policy say about works created on personal time with personal equipment?,
297,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How does the university handle intellectual property disputes involving graduate student research?,
298,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What are a student's obligations under the Intellectual Property Policy with respect to publications?,
299,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How does CMU's Intellectual Property Policy address computer software created by students?,
300,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What recourse does a student have if they believe their intellectual property rights have been violated?,
301,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the legal basis cited for CMU's ownership rights in certain student works?,
302,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the role of the Technology Transfer Office in intellectual property matters?,
303,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How does the Intellectual Property Policy interact with requirements in sponsored research?,
304,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What obligations arise when intellectual property is created in a joint project between students?,
305,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What is a ""sponsored research agreement"" in the context of the Intellectual Property Policy?",
306,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What does the policy say about the commercialization of student-developed intellectual property?,
307,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"How does the IP Policy address use of ""pre-existing"" materials owned by the student?",
308,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What documentation does the policy recommend for students wishing to protect their IP rights?,
309,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How are royalties handled when a student's intellectual property is commercialized by the university?,
310,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the applicable grievance procedure for intellectual property disputes under the graduate student appeal process?,
311,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),How does the Fair Use Policy's four-factor test relate to student academic work?,
312,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the CMU Fair Use Policy's stance on digitization of works for the print-disabled?,
313,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What does the Fair Use Policy say about including chapters of monographs in electronic course reserves?,
314,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What is the role of ""good faith"" in the CMU Fair Use Policy?",
315,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),What is the recommended documentation for demonstrating good faith in fair use?,
316,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What is the ""purpose and character"" factor in fair use analysis?",
317,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What have courts said about ""transformative"" uses in the context of the fair use doctrine?",
318,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What is the ""nature of the copyrighted work"" factor in fair use analysis?",
319,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What does the ""amount and substantiality"" factor require when analyzing fair use?",
320,SECTION 8: INTELLECTUAL PROPERTY POLICY (Q281–Q320),"What does copying ""the heart"" of a work mean for a fair use analysis?",
321,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What federal law governs student privacy rights at Carnegie Mellon?,
322,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What are the five rights afforded to students under FERPA as described in the handbook?,
323,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),"What are ""education records"" as defined under CMU's FERPA policy?",
324,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),List four categories of records that are explicitly NOT considered education records at CMU.,
325,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How does a student request to inspect their education records at CMU?,
326,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How many days does CMU have to respond to a student's request to inspect records?,
327,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),Who is present during a student's inspection of their education records?,
328,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What records may a student NOT review during an inspection?,
329,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How much does CMU charge for copies of education records?,
330,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How does a student request an amendment to their education records?,
331,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),Where must a written request for amendment to education records be sent?,
332,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How long does CMU have to respond to a request for amendment?,
333,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What right does a student have if CMU denies their request for amendment?,
334,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How does a student request a FERPA hearing?,
335,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),Who conducts a FERPA hearing at CMU?,
336,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What qualification must the hearing officer have in a FERPA hearing?,
337,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),May a student bring an attorney to a FERPA hearing?,
338,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What advance notice is required if a student's attorney will attend a FERPA hearing?,
339,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How long does CMU have to inform a student of the decision following a FERPA hearing?,
340,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What must the university's decision letter include after a FERPA hearing?,
341,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What right does a student have if CMU decides not to amend a record after a hearing?,
342,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),"What is ""directory information"" at Carnegie Mellon?",
343,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How must a student prevent disclosure of their directory information?,
344,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What is the deadline for requesting that directory information not be disclosed?,
345,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),"Does notifying the Registrar cover directory information held by fraternities, sororities, or athletics?",
346,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),List at least eight items CMU defines as directory information.,
347,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),"For student athletes, what additional items are included in directory information?",
348,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What is CMU's GUID and is it considered directory information?,
349,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),Under what circumstances may CMU release student records without consent to school officials?,
350,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),When may CMU release student records without consent to parents?,
351,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),When may CMU release records to parents of students under 21?,
352,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),Under what circumstances may CMU disclose records related to a subpoena?,
353,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What must CMU do before complying with a subpoena (with some exceptions)?,
354,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),In what type of emergency may CMU disclose education records without student consent?,
355,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),To whom may CMU disclose information in a campus sexual assault or violent crime case?,
356,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),When may CMU disclose information to another school at which the student seeks to enroll?,
357,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),Where should a student file a complaint if they believe CMU has violated FERPA?,
358,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What is the address of the Family Policy Compliance Office at the U.S. Department of Education?,
359,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What testing agencies may receive student records without consent?,
360,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What is the role of accrediting agencies in relation to FERPA disclosures?,
361,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What organizations involved in financial aid may receive student records without consent?,
362,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),"What does ""legitimate educational interest"" mean for a school official under FERPA?",
363,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),"What is considered a ""school official"" under CMU's FERPA policy?",
364,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),How does FERPA apply to records about individuals after they have left the university?,
365,SECTION 9: FERPA / STUDENT PRIVACY RIGHTS (Q321–Q365),What does CMU say about suppressing a user's electronic ID from systems entirely?,
366,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What types of student leaves are covered in CMU's Student Leaves Policy?,
367,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the general unit for which a student may take a leave of absence?,
368,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What must an international student do before considering a leave of absence?,
369,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",How far in advance should a student register with the Dean of Students for parental accommodation?,
370,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What office must a student seeking parental accommodations contact?,
371,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the phone number for the Office of the Dean of Student Affairs?,
372,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What are the two accommodation options for gestational parent students needing time away?,
373,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the maximum duration of a Short-Term Accommodation for Gestational Parents?,
374,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Under what circumstance may the Short-Term Accommodation be extended by two additional weeks?,
375,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Do students who take Short-Term Accommodation remain enrolled?,
376,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the Parental Accommodation for Doctoral Students?,
377,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Within how many months of a child's birth or placement may a Parental Accommodation be utilized?,
378,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",May a gestational doctoral student use both the Short-Term Accommodation and Parental Accommodation?,
379,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What interest-free financial option exists for students who become parents at CMU?,
380,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",How long may a gestational doctoral parent receiving a CMU stipend continue receiving funds?,
381,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",How long may a non-gestational doctoral parent receiving a CMU stipend continue receiving funds?,
382,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the Doctoral Stipend Continuation policy for gestational parents on formal leave?,
383,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",How does CMU support lactation for community members with infants?,
384,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is available for sponsored ID cards at CMU?,
385,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the process for domestic partner registration at CMU?,
386,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Who should be contacted for more information about domestic partner registration?,
387,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is CMU's Student Return Policy for students who have been on leave?,
388,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",How does a student obtain an Application for Return form?,
389,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",How far in advance of the semester must the Application for Return be submitted?,
390,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the two-year rule for undergraduates returning to the same academic department?,
391,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What happens if a student wants to return to the same department after more than two years?,
392,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What must a graduate student do to return from leave?,
393,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What documents must a student who took courses elsewhere submit with their return application?,
394,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What happens if necessary return documents are not submitted on time?,
395,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is required to complete the return process?,
396,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What are the three types of student suspension at CMU?,
397,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What causes Academic Suspension?,
398,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What causes Disciplinary Suspension?,
399,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What causes Administrative Suspension?,
400,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",List five things suspended students may not do.,
401,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",May a student on academic suspension have a summer campus job if they accepted it before suspension?,
402,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Under what conditions may a student on academic suspension have a non-student job with the university?,
403,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What happens to a student who violates their suspension terms regarding employment?,
404,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",May suspended students take courses elsewhere and receive transfer credit?,
405,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",To whom does a student appeal an Academic Suspension?,
406,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",To whom does a student appeal a Disciplinary Suspension?,
407,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Who is involved in approving a return from Administrative Suspension?,
408,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Who must approve a student's return from Academic Suspension?,
409,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",Who must approve a student's return from Disciplinary Suspension?,
410,"SECTION 10: STUDENT LEAVES, RETURNS & SUSPENSION POLICIES (Q366–Q410)",What is the policy on withholding a degree pending community standards proceedings?,
411,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the general principle governing how graduate students should first address concerns?,
412,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),"What is the definition of ""Academic Action"" in the graduate student context?",
413,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Give three examples of Academic Actions that may affect graduate students.,
414,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the deadline for initiating a graduate grade appeal after the final grade is issued?,
415,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What are the two circumstances that warrant a graduate grade appeal?,
416,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the first step in a graduate grade appeal?,
417,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Where must a formal written grade appeal for graduate students be submitted?,
418,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does the department head have to issue a decision on a graduate grade appeal?,
419,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does a student have to appeal the department head's decision to the Dean?,
420,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does the Dean have to issue a decision on a graduate grade appeal?,
421,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Is the Dean's decision on a graduate grade appeal appealable?,
422,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the deadline for a graduate student to file an academic action appeal with the Dean?,
423,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does the Dean have to render a decision on an Academic Action appeal?,
424,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does a student have to appeal the Dean's academic action decision to the Provost?,
425,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Must a copy of the appeal to the Provost also be sent to anyone else?,
426,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does the Provost have to render a decision on an appeal?,
427,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Is the Provost's decision on an academic action appeal final and non-appealable?,
428,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Do sanctions from Academic Actions take effect immediately even during an appeal?,
429,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Under what exceptional circumstances may sanctions be held in abeyance?,
430,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the procedure for a general grievance that is not covered by other policies?,
431,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What policies may NOT be substituted with the general grievance procedure?,
432,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the first step in a general graduate student grievance?,
433,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Who issues a written decision on a general grievance at the department level?,
434,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the timeline for a department head to decide a general grievance?,
435,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does a student have to appeal a department decision to the Dean?,
436,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does the Dean have to render a decision on a general grievance appeal?,
437,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),How many days does a student have to appeal the Dean's general grievance decision to the Provost?,
438,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),To whom must a copy of the Provost appeal also be submitted in a general grievance?,
439,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Is the Provost's decision on a general grievance final and non-appealable?,
440,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the procedure for graduate students with harassment concerns from another student?,
441,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Who should a graduate student contact regarding harassment by a staff or faculty member?,
442,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the phone number for the Assistant VP of Human Resources for harassment concerns?,
443,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Under what policy are sexual harassment grievances handled for graduate students?,
444,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the procedure for intellectual property disputes for graduate students?,
445,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What procedures govern graduate student research misconduct cases?,
446,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),Who may impose sanctions on graduate students found responsible for research misconduct?,
447,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),"What sanctions may be imposed for research misconduct, up to and including what?",
448,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the procedure for a graduate student to return from a leave of absence?,
449,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What happens if a department denies a graduate student's return from leave?,
450,SECTION 11: GRADUATE STUDENT APPEALS & GRIEVANCES (Q411–Q450),What is the scope of the graduate appeal and grievance procedures regarding other policies?,
451,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),What types of graduate student awards may be subject to U.S. federal income tax?,
452,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),Are all graduate student award funds taxable for non-degree candidates?,
453,SECTION 12: TAXATION OF GRADUATE STUDENT AWARDS (Q451–Q480),"For a graduate degree candidate, what portion of awards is not subject to federal tax?",
